web-scraper-order,web-scraper-start-url,company,company-href,model,model-href
"1555570140-549","https://www.gsmarena.com/","Alcatel","https://www.gsmarena.com/alcatel-phones-5.php","X1","https://www.gsmarena.com/alcatel_x1-8205.php"
"1555570142-562","https://www.gsmarena.com/","Asus","https://www.gsmarena.com/asus-phones-46.php","ZenFone Lite (L1) ZA551KL","https://www.gsmarena.com/asus_zenfone_lite_(l1)_za551kl-9372.php"
"1555570111-130","https://www.gsmarena.com/","Wiko","https://www.gsmarena.com/wiko-phones-96.php","Upulse lite","https://www.gsmarena.com/wiko_upulse_lite-9031.php"
"1555570167-865","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","K8 Plus","https://www.gsmarena.com/lenovo_k8_plus-8834.php"
"1555570167-853","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","K5 Pro","https://www.gsmarena.com/lenovo_k5_pro-9374.php"
"1555570142-580","https://www.gsmarena.com/","Asus","https://www.gsmarena.com/asus-phones-46.php","Zenfone 4 Max Pro ZC554KL","https://www.gsmarena.com/asus_zenfone_4_max_pro_zc554kl-8814.php"
"1555570125-346","https://www.gsmarena.com/","Lava","https://www.gsmarena.com/lava-phones-94.php","A73","https://www.gsmarena.com/lava_a73-8560.php"
"1555570151-707","https://www.gsmarena.com/","vivo","https://www.gsmarena.com/vivo-phones-98.php","Y83","https://www.gsmarena.com/vivo_y83-9180.php"
"1555570205-1227","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy J8","https://www.gsmarena.com/samsung_galaxy_j8-9205.php"
"1555570101-24","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Optimax 10","https://www.gsmarena.com/plum_optimax_10-8089.php"
"1555570167-868","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","Tab 4 10 Plus","https://www.gsmarena.com/lenovo_tab_4_10_plus-8605.php"
"1555570104-66","https://www.gsmarena.com/","verykool","https://www.gsmarena.com/verykool-phones-70.php","Sl5200 Eclipse","https://www.gsmarena.com/verykool_sl5200_eclipse-8442.php"
"1555570142-595","https://www.gsmarena.com/","Asus","https://www.gsmarena.com/asus-phones-46.php","Zenpad Z10 ZT500KL","https://www.gsmarena.com/asus_zenpad_z10_zt500kl-8370.php"
"1555570199-1131","https://www.gsmarena.com/","Huawei","https://www.gsmarena.com/huawei-phones-58.php","Y9 (2019)","https://www.gsmarena.com/huawei_y9_(2019)-9324.php"
"1555570129-415","https://www.gsmarena.com/","Energizer","https://www.gsmarena.com/energizer-phones-106.php","Energy S550","https://www.gsmarena.com/energizer_energy_s550-8976.php"
"1555570129-393","https://www.gsmarena.com/","Energizer","https://www.gsmarena.com/energizer-phones-106.php","Hardcase H241","https://www.gsmarena.com/energizer_hardcase_h241-9561.php"
"1555570123-299","https://www.gsmarena.com/","Micromax","https://www.gsmarena.com/micromax-phones-66.php","Bharat 2 Ultra","https://www.gsmarena.com/micromax_bharat_2_ultra-8944.php"
"1555570125-354","https://www.gsmarena.com/","Lava","https://www.gsmarena.com/lava-phones-94.php","A97","https://www.gsmarena.com/lava_a97-8341.php"
"1555570123-298","https://www.gsmarena.com/","Micromax","https://www.gsmarena.com/micromax-phones-66.php","Canvas Infinity Pro","https://www.gsmarena.com/micromax_canvas_infinity_pro-8914.php"
"1555570205-1206","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy Tab A 10.1 (2019)","https://www.gsmarena.com/samsung_galaxy_tab_a_10_1_(2019)-9582.php"
"1555570111-124","https://www.gsmarena.com/","Wiko","https://www.gsmarena.com/wiko-phones-96.php","View Prime","https://www.gsmarena.com/wiko_view_prime-8992.php"
"1555570145-625","https://www.gsmarena.com/","BlackBerry","https://www.gsmarena.com/blackberry-phones-36.php","Curve 9370","https://www.gsmarena.com/blackberry_curve_9370-4112.php"
"1555570151-711","https://www.gsmarena.com/","vivo","https://www.gsmarena.com/vivo-phones-98.php","Y71","https://www.gsmarena.com/vivo_y71-9148.php"
"1555570167-871","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","Tab 4 8","https://www.gsmarena.com/lenovo_tab_4_8-8602.php"
"1555570158-739","https://www.gsmarena.com/","Oppo","https://www.gsmarena.com/oppo-phones-82.php","F11 Pro","https://www.gsmarena.com/oppo_f11_pro-9566.php"
"1555570193-1054","https://www.gsmarena.com/","Sony","https://www.gsmarena.com/sony-phones-7.php","Xperia XZ Premium","https://www.gsmarena.com/sony_xperia_xz_premium-8593.php"
"1555570193-1050","https://www.gsmarena.com/","Sony","https://www.gsmarena.com/sony-phones-7.php","Xperia XA1 Plus","https://www.gsmarena.com/sony_xperia_xa1_plus-8840.php"
"1555570101-35","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Gator Plus II","https://www.gsmarena.com/plum_gator_plus_ii-7434.php"
"1555570199-1127","https://www.gsmarena.com/","Huawei","https://www.gsmarena.com/huawei-phones-58.php","Mate 20 Pro","https://www.gsmarena.com/huawei_mate_20_pro-9343.php"
"1555570101-19","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Play","https://www.gsmarena.com/plum_play-8485.php"
"1555570155-728","https://www.gsmarena.com/","Realme","https://www.gsmarena.com/realme-phones-118.php","C1 (2019)","https://www.gsmarena.com/realme_c1_(2019)-9539.php"
"1555570203-1184","https://www.gsmarena.com/","Apple","https://www.gsmarena.com/apple-phones-48.php","Watch 38mm (1st gen)","https://www.gsmarena.com/apple_watch_38mm_(1st_gen)-7695.php"
"1555570172-967","https://www.gsmarena.com/","HTC","https://www.gsmarena.com/htc-phones-45.php","One M9s","https://www.gsmarena.com/htc_one_m9s-7758.php"
"1555570190-997","https://www.gsmarena.com/","LG","https://www.gsmarena.com/lg-phones-20.php","Zone 4","https://www.gsmarena.com/lg_zone_4-9122.php"
"1555570167-855","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","Z5","https://www.gsmarena.com/lenovo_z5-9222.php"
"1555570108-94","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga Ray 800","https://www.gsmarena.com/panasonic_eluga_ray_800-9618.php"
"1555570106-92","https://www.gsmarena.com/","YU","https://www.gsmarena.com/yu-phones-100.php","Yureka Plus","https://www.gsmarena.com/yu_yureka_plus-7436.php"
"1555570142-573","https://www.gsmarena.com/","Asus","https://www.gsmarena.com/asus-phones-46.php","Zenfone 4 ZE554KL","https://www.gsmarena.com/asus_zenfone_4_ze554kl-8782.php"
"1555570106-89","https://www.gsmarena.com/","YU","https://www.gsmarena.com/yu-phones-100.php","Yutopia","https://www.gsmarena.com/yu_yutopia-7827.php"
"1555570199-1142","https://www.gsmarena.com/","Huawei","https://www.gsmarena.com/huawei-phones-58.php","P20 Pro","https://www.gsmarena.com/huawei_p20_pro-9106.php"
